entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,TOTAL
Guanajuato,subdel,Entre 30 y 35 años,202507,1584,1506,78,0,75,74,1,0,75
Guanajuato,subdel,Entre 35 y 40 años,202507,1269,1204,65,0,77,71,6,0,77
Guanajuato,subdel,Entre 40 y 45 años,202507,1055,997,58,0,62,61,1,0,62
Guanajuato,subdel,Entre 45 y 50 años,202507,700,662,38,0,36,36,0,0,36
Guanajuato,subdel,Entre 50 y 55 años,202507,492,466,26,0,39,36,3,0,39
Guanajuato,subdel,Entre 55 y 60 años,202507,299,292,7,0,21,21,0,0,21
Guanajuato,subdel,Entre 60 y 65 años,202507,165,161,4,0,25,23,2,0,25
Guanajuato,subdel,Entre 65 y 70 años,202507,57,57,0,0,4,4,0,0,4
Guanajuato,subdel,Entre 70 y 75 años,202507,14,14,0,0,1,1,0,0,1
Guanajuato,subdel,75 años y más,202507,989,929,60,0,25,25,0,0,25
Guanajuato,subdel,Entre 15 y 20 años,202507,919,850,69,0,24,23,1,0,24
Guanajuato,subdel,Entre 20 y 25 años,202507,6974,6439,535,0,261,250,11,0,261
Guanajuato,subdel,Entre 25 y 30 años,202507,7374,6743,631,0,480,446,34,0,480
Guanajuato,subdel,Entre 30 y 35 años,202507,6371,5769,602,0,697,629,68,0,697
Guanajuato,subdel,Entre 35 y 40 años,202507,4583,4114,469,0,588,544,44,0,588
Guanajuato,subdel,Entre 40 y 45 años,202507,3422,3068,354,0,572,525,47,0,572
Guanajuato,subdel,Entre 45 y 50 años,202507,1971,1736,235,0,420,391,29,0,420
Guanajuato,subdel,Entre 50 y 55 años,202507,1404,1272,132,0,362,347,15,0,362
Guanajuato,subdel,Entre 55 y 60 años,202507,905,845,60,0,236,225,11,0,236
Guanajuato,subdel,Entre 60 y 65 años,202507,423,409,14,0,99,98,1,0,99
Guanajuato,subdel,Entre 65 y 70 años,202507,179,167,12,0,33,32,1,0,33
Guanajuato,subdel,Entre 70 y 75 años,202507,52,49,3,0,5,5,0,0,5
Guerrero,subdel,75 años y más,202507,24,23,1,0,1,1,0,0,1
Guerrero,subdel,Entre 15 y 20 años,202507,14,14,0,0,0,0,0,0,0
Guerrero,subdel,Entre 20 y 25 años,202507,308,299,9,0,10,9,1,0,10
Guerrero,subdel,Entre 25 y 30 años,202507,469,437,32,0,42,40,2,0,42
Guerrero,subdel,Entre 30 y 35 años,202507,495,464,31,0,40,39,1,0,40
Guerrero,subdel,Entre 35 y 40 años,202507,417,389,28,0,33,32,1,0,33
Guerrero,subdel,Entre 40 y 45 años,202507,305,282,23,0,24,24,0,0,24
Guerrero,subdel,Entre 45 y 50 años,202507,212,200,12,0,22,22,0,0,22
Guerrero,subdel,Entre 50 y 55 años,202507,145,139,6,0,18,18,0,0,18
Guerrero,subdel,Entre 55 y 60 años,202507,74,71,3,0,3,3,0,0,3
Guerrero,subdel,Entre 60 y 65 años,202507,40,36,4,0,2,2,0,0,2
Guerrero,subdel,Entre 65 y 70 años,202507,14,14,0,0,2,2,0,0,2
Guerrero,subdel,Entre 70 y 75 años,202507,1,1,0,0,0,0,0,0,0
Guerrero,subdel,75 años y más,202507,375,346,29,0,12,12,0,0,12
Guerrero,subdel,Entre 15 y 20 años,202507,208,197,11,0,11,11,0,0,11
Guerrero,subdel,Entre 20 y 25 años,202507,2525,2241,284,0,108,104,4,0,108
Guerrero,subdel,Entre 25 y 30 años,202507,3315,2921,394,0,208,194,14,0,208
Guerrero,subdel,Entre 30 y 35 años,202507,2821,2481,340,0,273,252,21,0,273
Guerrero,subdel,Entre 35 y 40 años,202507,2079,1852,227,0,306,291,15,0,306
Guerrero,subdel,Entre 40 y 45 años,202507,1415,1246,169,0,230,214,16,0,230
Guerrero,subdel,Entre 45 y 50 años,202507,877,764,113,0,187,171,16,0,187
Guerrero,subdel,Entre 50 y 55 años,202507,647,574,73,0,145,132,13,0,145
Guerrero,subdel,Entre 55 y 60 años,202507,351,313,38,0,89,85,4,0,89
Guerrero,subdel,Entre 60 y 65 años,202507,195,179,16,0,45,44,1,0,45
Guerrero,subdel,Entre 65 y 70 años,202507,72,65,7,0,11,11,0,0,11
Guerrero,subdel,Entre 70 y 75 años,202507,27,22,5,0,4,4,0,0,4
Hidalgo,subdel,75 años y más,202507,14,13,1,0,2,2,0,0,2
Hidalgo,subdel,Entre 15 y 20 años,202507,9,9,0,0,0,0,0,0,0
Hidalgo,subdel,Entre 20 y 25 años,202507,172,164,8,0,9,8,1,0,9
Hidalgo,subdel,Entre 25 y 30 años,202507,261,253,8,0,18,18,0,0,18
Hidalgo,subdel,Entre 30 y 35 años,202507,277,261,16,0,22,22,0,0,22
Hidalgo,subdel,Entre 35 y 40 años,202507,188,180,8,0,19,18,1,0,19
Hidalgo,subdel,Entre 40 y 45 años,202507,127,120,7,0,16,16,0,0,16
Hidalgo,subdel,Entre 45 y 50 años,202507,101,98,3,0,15,15,0,0,15
Hidalgo,subdel,Entre 50 y 55 años,202507,67,65,2,0,5,5,0,0,5
Hidalgo,subdel,Entre 55 y 60 años,202507,49,48,1,0,6,6,0,0,6
Hidalgo,subdel,Entre 60 y 65 años,202507,33,32,1,0,3,3,0,0,3
Hidalgo,subdel,Entre 65 y 70 años,202507,8,8,0,0,0,0,0,0,0
Hidalgo,subdel,Entre 70 y 75 años,202507,2,2,0,0,1,1,0,0,1
Hidalgo,subdel,75 años y más,202507,221,198,23,0,2,2,0,0,2
Hidalgo,subdel,Entre 15 y 20 años,202507,120,112,8,0,2,2,0,0,2
Hidalgo,subdel,Entre 20 y 25 años,202507,1493,1323,170,0,57,54,3,0,57
Hidalgo,subdel,Entre 25 y 30 años,202507,1962,1761,201,0,154,141,13,0,154
Hidalgo,subdel,Entre 30 y 35 años,202507,1846,1641,205,0,197,176,21,0,197
Hidalgo,subdel,Entre 35 y 40 años,202507,1322,1171,151,0,166,150,16,0,166
Hidalgo,subdel,Entre 40 y 45 años,202507,839,739,100,0,136,125,11,0,136
Hidalgo,subdel,Entre 45 y 50 años,202507,588,526,62,0,115,105,10,0,115
Hidalgo,subdel,Entre 50 y 55 años,202507,389,334,55,0,77,71,6,0,77
Hidalgo,subdel,Entre 55 y 60 años,202507,237,226,11,0,57,57,0,0,57
Hidalgo,subdel,Entre 60 y 65 años,202507,150,134,16,0,36,35,1,0,36
Hidalgo,subdel,Entre 65 y 70 años,202507,70,58,12,0,11,11,0,0,11
Hidalgo,subdel,Entre 70 y 75 años,202507,18,17,1,0,2,2,0,0,2
Jalisco,subdel,75 años y más,202507,267,257,10,0,5,5,0,0,5
Jalisco,subdel,Entre 15 y 20 años,202507,190,183,7,0,6,6,0,0,6
Jalisco,subdel,Entre 20 y 25 años,202507,2445,2363,82,0,101,100,1,0,101
Jalisco,subdel,Entre 25 y 30 años,202507,3022,2886,136,0,152,145,7,0,152
Jalisco,subdel,Entre 30 y 35 años,202507,2935,2746,189,0,187,177,10,0,187
Jalisco,subdel,Entre 35 y 40 años,202507,2634,2435,199,0,170,168,2,0,170
Jalisco,subdel,Entre 40 y 45 años,202507,2031,1896,135,0,154,147,7,0,154
Jalisco,subdel,Entre 45 y 50 años,202507,1468,1370,98,0,119,117,2,0,119
Jalisco,subdel,Entre 50 y 55 años,202507,1022,962,60,0,77,75,2,0,77
Jalisco,subdel,Entre 55 y 60 años,202507,587,563,24,0,67,66,1,0,67
Jalisco,subdel,Entre 60 y 65 años,202507,244,240,4,0,15,15,0,0,15
Jalisco,subdel,Entre 65 y 70 años,202507,82,80,2,0,4,4,0,0,4
Jalisco,subdel,Entre 70 y 75 años,202507,18,18,0,0,1,1,0,0,1
Jalisco,subdel,75 años y más,202507,2268,2057,211,0,93,88,5,0,93
Jalisco,subdel,Entre 15 y 20 años,202507,1951,1793,158,0,70,67,3,0,70
Jalisco,subdel,Entre 20 y 25 años,202507,15435,13965,1470,0,920,873,47,0,920
Jalisco,subdel,Entre 25 y 30 años,202507,16797,15160,1637,0,1478,1389,89,0,1478
Jalisco,subdel,Entre 30 y 35 años,202507,14756,13246,1510,0,1799,1660,139,0,1799
Jalisco,subdel,Entre 35 y 40 años,202507,12012,10614,1398,0,1882,1740,142,0,1882
Jalisco,subdel,Entre 40 y 45 años,202507,9031,7973,1058,0,1574,1453,121,0,1574
Jalisco,subdel,Entre 45 y 50 años,202507,5645,4908,737,0,1275,1176,99,0,1275
Jalisco,subdel,Entre 50 y 55 años,202507,4025,3487,538,0,1028,953,75,0,1028
Jalisco,subdel,Entre 55 y 60 años,202507,2260,2027,233,0,594,563,31,0,594
