CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,Entre 55 y 60 años,341.5625,408.890886076,356,313,43,0,83,79,4,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,Entre 60 y 65 años,,402.076666667,181,159,22,0,39,39,0,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,Entre 65 y 70 años,,430.765555556,89,85,4,0,18,18,0,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,Entre 70 y 75 años,,321.89,27,27,0,0,5,5,0,0
7,Transportes y comunicaciones,Guanajuato,202510,75 años y más,,321.730666667,1520,1403,117,0,30,30,0,0
7,Transportes y comunicaciones,Guanajuato,202510,Entre 15 y 20 años,420.61,334.150454545,1275,1183,92,0,23,22,1,0
7,Transportes y comunicaciones,Guanajuato,202510,Entre 20 y 25 años,321.421818182,345.819901961,8880,8240,640,0,317,306,11,0
7,Transportes y comunicaciones,Guanajuato,202510,Entre 25 y 30 años,349.715238095,351.590019881,9785,8981,804,0,524,503,21,0
7,Transportes y comunicaciones,Guanajuato,202510,Entre 30 y 35 años,337.636129032,366.550352221,8631,7879,752,0,684,653,31,0
7,Transportes y comunicaciones,Guanajuato,202510,Entre 35 y 40 años,341.032941176,366.287918089,6399,5821,578,0,620,586,34,0
7,Transportes y comunicaciones,Guanajuato,202510,Entre 40 y 45 años,342.388,373.200837790,4810,4399,411,0,586,561,25,0
7,Transportes y comunicaciones,Guanajuato,202510,Entre 45 y 50 años,343.580434783,376.271209503,3084,2801,283,0,486,463,23,0
7,Transportes y comunicaciones,Guanajuato,202510,Entre 50 y 55 años,325.320714286,381.426632911,2210,2017,193,0,409,395,14,0
7,Transportes y comunicaciones,Guanajuato,202510,Entre 55 y 60 años,373.209,381.048959108,1347,1280,67,0,279,269,10,0
7,Transportes y comunicaciones,Guanajuato,202510,Entre 60 y 65 años,369.755,364.354328358,687,652,35,0,136,134,2,0
7,Transportes y comunicaciones,Guanajuato,202510,Entre 65 y 70 años,,367.536956522,263,253,10,0,46,46,0,0
7,Transportes y comunicaciones,Guanajuato,202510,Entre 70 y 75 años,,358.253333333,78,74,4,0,9,9,0,0
7,Transportes y comunicaciones,Guerrero,202510,75 años y más,378.725,322.36,506,454,52,0,12,10,2,0
7,Transportes y comunicaciones,Guerrero,202510,Entre 15 y 20 años,,382.127142857,267,250,17,0,7,7,0,0
7,Transportes y comunicaciones,Guerrero,202510,Entre 20 y 25 años,342.157142857,398.246571429,2882,2587,295,0,147,140,7,0
7,Transportes y comunicaciones,Guerrero,202510,Entre 25 y 30 años,370.943571429,391.33,3726,3335,391,0,335,307,28,0
7,Transportes y comunicaciones,Guerrero,202510,Entre 30 y 35 años,385.932173913,395.381490683,3251,2918,333,0,345,322,23,0
7,Transportes y comunicaciones,Guerrero,202510,Entre 35 y 40 años,398.289444444,406.366253602,2538,2287,251,0,365,347,18,0
7,Transportes y comunicaciones,Guerrero,202510,Entre 40 y 45 años,364.583333333,406.907508897,1732,1548,184,0,293,281,12,0
7,Transportes y comunicaciones,Guerrero,202510,Entre 45 y 50 años,321.072222222,411.006127660,1238,1106,132,0,244,235,9,0
7,Transportes y comunicaciones,Guerrero,202510,Entre 50 y 55 años,377.543,404.463108808,859,792,67,0,203,193,10,0
7,Transportes y comunicaciones,Guerrero,202510,Entre 55 y 60 años,342.543333333,406.971237113,474,438,36,0,100,97,3,0
7,Transportes y comunicaciones,Guerrero,202510,Entre 60 y 65 años,535.59,398.377777778,250,233,17,0,55,54,1,0
7,Transportes y comunicaciones,Guerrero,202510,Entre 65 y 70 años,,398.947894737,100,91,9,0,19,19,0,0
7,Transportes y comunicaciones,Guerrero,202510,Entre 70 y 75 años,,361.106666667,19,17,2,0,3,3,0,0
7,Transportes y comunicaciones,Hidalgo,202510,75 años y más,,338.761,303,270,33,0,10,10,0,0
7,Transportes y comunicaciones,Hidalgo,202510,Entre 15 y 20 años,,370.03,143,134,9,0,3,3,0,0
7,Transportes y comunicaciones,Hidalgo,202510,Entre 20 y 25 años,323.954,389.836046512,1609,1466,143,0,91,86,5,0
7,Transportes y comunicaciones,Hidalgo,202510,Entre 25 y 30 años,360.048333333,409.003392857,2060,1898,162,0,174,168,6,0
7,Transportes y comunicaciones,Hidalgo,202510,Entre 30 y 35 años,392.084615385,407.910840708,2012,1810,202,0,239,226,13,0
7,Transportes y comunicaciones,Hidalgo,202510,Entre 35 y 40 años,310.9725,419.112485876,1381,1274,107,0,181,177,4,0
7,Transportes y comunicaciones,Hidalgo,202510,Entre 40 y 45 años,378.042,408.870717949,1005,903,102,0,200,195,5,0
7,Transportes y comunicaciones,Hidalgo,202510,Entre 45 y 50 años,564.665,408.670833333,735,676,59,0,136,132,4,0
7,Transportes y comunicaciones,Hidalgo,202510,Entre 50 y 55 años,364.1125,400.298526316,503,458,45,0,103,95,8,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202510,Entre 40 y 45 años,346.370555556,395.349453376,2421,2146,275,0,329,311,18,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202510,Entre 45 y 50 años,366.507692308,396.914495798,1687,1494,193,0,251,238,13,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202510,Entre 50 y 55 años,378.180909091,393.137477064,1157,1045,112,0,229,218,11,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202510,Entre 55 y 60 años,362.231428571,414.701056338,747,698,49,0,149,142,7,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202510,Entre 60 y 65 años,358.785,387.814880952,462,435,27,0,86,84,2,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202510,Entre 65 y 70 años,321.31,339.248709677,208,184,24,0,32,31,1,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202510,Entre 70 y 75 años,,364.082222222,55,54,1,0,9,9,0,0
7,Transportes y comunicaciones,Morelos,202510,75 años y más,292.54,367.236,900,806,94,0,16,15,1,0
7,Transportes y comunicaciones,Morelos,202510,Entre 15 y 20 años,,464.756,406,378,28,0,5,5,0,0
7,Transportes y comunicaciones,Morelos,202510,Entre 20 y 25 años,354.35,369.502872340,3693,3353,340,0,95,94,1,0
7,Transportes y comunicaciones,Morelos,202510,Entre 25 y 30 años,341.921428571,356.356419753,3842,3473,369,0,169,162,7,0
