entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_NB,PTPD_Puestos_M
Colima,subdel,Entre 15 y 20 años,202510,271,243,28,0,6,6,0,0
Colima,subdel,Entre 20 y 25 años,202510,1698,1534,164,0,45,42,0,3
Colima,subdel,Entre 25 y 30 años,202510,1608,1417,191,0,90,82,0,8
Colima,subdel,Entre 30 y 35 años,202510,1333,1146,187,0,91,84,0,7
Colima,subdel,Entre 35 y 40 años,202510,1043,892,151,0,117,108,0,9
Colima,subdel,Entre 40 y 45 años,202510,695,591,104,0,90,79,0,11
Colima,subdel,Entre 45 y 50 años,202510,439,357,82,0,54,52,0,2
Colima,subdel,Entre 50 y 55 años,202510,303,258,45,0,46,44,0,2
Colima,subdel,Entre 55 y 60 años,202510,166,149,17,0,30,29,0,1
Colima,subdel,Entre 60 y 65 años,202510,76,72,4,0,14,14,0,0
Colima,subdel,Entre 65 y 70 años,202510,38,37,1,0,8,8,0,0
Colima,subdel,Entre 70 y 75 años,202510,10,9,1,0,1,1,0,0
Durango,subdel,75 años y más,202510,570,519,51,0,15,15,0,0
Durango,subdel,Entre 15 y 20 años,202510,468,438,30,0,12,11,0,1
Durango,subdel,Entre 20 y 25 años,202510,3390,3080,310,0,135,129,0,6
Durango,subdel,Entre 25 y 30 años,202510,3547,3171,376,0,233,220,0,13
Durango,subdel,Entre 30 y 35 años,202510,3372,2944,428,0,264,253,0,11
Durango,subdel,Entre 35 y 40 años,202510,2339,2057,282,0,219,206,0,13
Durango,subdel,Entre 40 y 45 años,202510,1692,1471,221,0,218,198,0,20
Durango,subdel,Entre 45 y 50 años,202510,1138,1001,137,0,183,172,0,11
Durango,subdel,Entre 50 y 55 años,202510,772,672,100,0,168,155,0,13
Durango,subdel,Entre 55 y 60 años,202510,426,376,50,0,76,71,0,5
Durango,subdel,Entre 60 y 65 años,202510,215,192,23,0,44,43,0,1
Durango,subdel,Entre 65 y 70 años,202510,96,90,6,0,20,20,0,0
Durango,subdel,Entre 70 y 75 años,202510,24,23,1,0,3,3,0,0
Extranjero/Extranjera,subdel,75 años y más,202510,414,372,42,0,20,18,0,2
Extranjero/Extranjera,subdel,Entre 15 y 20 años,202510,151,132,19,0,6,6,0,0
Extranjero/Extranjera,subdel,Entre 20 y 25 años,202510,1175,1031,144,0,82,79,0,3
Extranjero/Extranjera,subdel,Entre 25 y 30 años,202510,1445,1302,143,0,160,155,0,5
Extranjero/Extranjera,subdel,Entre 30 y 35 años,202510,1661,1474,187,0,208,193,0,15
Extranjero/Extranjera,subdel,Entre 35 y 40 años,202510,1438,1281,157,0,221,212,0,9
Extranjero/Extranjera,subdel,Entre 40 y 45 años,202510,1029,916,113,0,188,174,0,14
Extranjero/Extranjera,subdel,Entre 45 y 50 años,202510,800,712,88,0,165,158,0,7
Extranjero/Extranjera,subdel,Entre 50 y 55 años,202510,534,450,84,0,117,109,0,8
Extranjero/Extranjera,subdel,Entre 55 y 60 años,202510,356,313,43,0,83,79,0,4
Extranjero/Extranjera,subdel,Entre 60 y 65 años,202510,181,159,22,0,39,39,0,0
Extranjero/Extranjera,subdel,Entre 65 y 70 años,202510,89,85,4,0,18,18,0,0
Extranjero/Extranjera,subdel,Entre 70 y 75 años,202510,27,27,0,0,5,5,0,0
Guanajuato,subdel,75 años y más,202510,1520,1403,117,0,30,30,0,0
Guanajuato,subdel,Entre 15 y 20 años,202510,1275,1183,92,0,23,22,0,1
Guanajuato,subdel,Entre 20 y 25 años,202510,8880,8240,640,0,317,306,0,11
Guanajuato,subdel,Entre 25 y 30 años,202510,9785,8981,804,0,524,503,0,21
Guanajuato,subdel,Entre 30 y 35 años,202510,8631,7879,752,0,684,653,0,31
Guanajuato,subdel,Entre 35 y 40 años,202510,6399,5821,578,0,620,586,0,34
Guanajuato,subdel,Entre 40 y 45 años,202510,4810,4399,411,0,586,561,0,25
Guanajuato,subdel,Entre 45 y 50 años,202510,3084,2801,283,0,486,463,0,23
Guanajuato,subdel,Entre 50 y 55 años,202510,2210,2017,193,0,409,395,0,14
Guanajuato,subdel,Entre 55 y 60 años,202510,1347,1280,67,0,279,269,0,10
Guanajuato,subdel,Entre 60 y 65 años,202510,687,652,35,0,136,134,0,2
Guanajuato,subdel,Entre 65 y 70 años,202510,263,253,10,0,46,46,0,0
Guanajuato,subdel,Entre 70 y 75 años,202510,78,74,4,0,9,9,0,0
Guerrero,subdel,75 años y más,202510,506,454,52,0,12,10,0,2
