CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
8,Servicios para empresas,Guerrero,202507,Entre 50 y 55 años,,301.379444444,145,139,6,0,18,18,0,0
8,Servicios para empresas,Guerrero,202507,Entre 55 y 60 años,,278.8,74,71,3,0,3,3,0,0
8,Servicios para empresas,Guerrero,202507,Entre 60 y 65 años,,278.8,40,36,4,0,2,2,0,0
8,Servicios para empresas,Guerrero,202507,Entre 65 y 70 años,,278.8,14,14,0,0,2,2,0,0
8,Servicios para empresas,Guerrero,202507,Entre 70 y 75 años,,,1,1,0,0,0,0,0,0
7,Transportes y comunicaciones,Guerrero,202507,75 años y más,,340.21,375,346,29,0,12,12,0,0
7,Transportes y comunicaciones,Guerrero,202507,Entre 15 y 20 años,,425.104545455,208,197,11,0,11,11,0,0
7,Transportes y comunicaciones,Guerrero,202507,Entre 20 y 25 años,323.0825,383.023365385,2525,2241,284,0,108,104,4,0
7,Transportes y comunicaciones,Guerrero,202507,Entre 25 y 30 años,381.432857143,385.497164948,3315,2921,394,0,208,194,14,0
7,Transportes y comunicaciones,Guerrero,202507,Entre 30 y 35 años,347.955238095,400.833571429,2821,2481,340,0,273,252,21,0
7,Transportes y comunicaciones,Guerrero,202507,Entre 35 y 40 años,407.182,403.758831615,2079,1852,227,0,306,291,15,0
7,Transportes y comunicaciones,Guerrero,202507,Entre 40 y 45 años,352.5775,422.822663551,1415,1246,169,0,230,214,16,0
7,Transportes y comunicaciones,Guerrero,202507,Entre 45 y 50 años,324.465625,408.501169591,877,764,113,0,187,171,16,0
7,Transportes y comunicaciones,Guerrero,202507,Entre 50 y 55 años,360.741538462,422.429242424,647,574,73,0,145,132,13,0
7,Transportes y comunicaciones,Guerrero,202507,Entre 55 y 60 años,295.345,404.274823529,351,313,38,0,89,85,4,0
7,Transportes y comunicaciones,Guerrero,202507,Entre 60 y 65 años,485.82,400.23,195,179,16,0,45,44,1,0
7,Transportes y comunicaciones,Guerrero,202507,Entre 65 y 70 años,,433.127272727,72,65,7,0,11,11,0,0
7,Transportes y comunicaciones,Guerrero,202507,Entre 70 y 75 años,,407.3925,27,22,5,0,4,4,0,0
8,Servicios para empresas,Hidalgo,202507,75 años y más,,287.68,14,13,1,0,2,2,0,0
8,Servicios para empresas,Hidalgo,202507,Entre 15 y 20 años,,,9,9,0,0,0,0,0,0
8,Servicios para empresas,Hidalgo,202507,Entre 20 y 25 años,339.08,437.52625,172,164,8,0,9,8,1,0
